rho_pol, ne, Te, Ti, dn_dR, dTe_dR, dTi_dR, D, chi_e, chi_i, Gamma, Qe, Qi
9.877248525091898435e-01,1.045365082919933542e+19,6.738077710691533184e+01,1.145230388353433852e+02,-1.924330620333445612e+20,-2.478661412448740975e+03,-4.619674694963231559e+03,1.472086174817318627e-01,1.053599743047608284e+00,8.509021798572926620e-01,2.832780501970499994e+19,4.832114428107126514e+03,7.362542766710658725e+03
9.889687711984981311e-01,1.027847617788229427e+19,6.518436645040382871e+01,1.102470124968026823e+02,-1.755459632292203069e+20,-2.322689567746659122e+03,-4.595633058456618528e+03,2.622012384229053805e-01,1.117489047930708246e+00,9.500376590684039835e-01,4.602836895884337152e+19,4.994892441828946176e+03,8.408547768738053492e+03
9.902126898878065298e-01,1.012814148084602061e+19,6.307388702686813531e+01,1.060015012584532883e+02,-1.535329887050614047e+20,-2.096944748503796745e+03,-3.632424572286185139e+03,3.837853919751083032e-01,1.204636403316695414e+00,1.044900470169729312e+00,5.892371825128186675e+19,4.991683698717455627e+03,7.659256382466333889e+03
9.914566085771148174e-01,9.993315825102247936e+18,6.128966271743404803e+01,1.035004267550902739e+02,-1.291933066342373786e+20,-1.886654856504954523e+03,-2.406849803820409761e+03,5.072073553668254853e-01,1.251246260964436807e+00,1.158544225142918327e+00,6.552779538904689050e+19,4.744352466593215468e+03,6.093849907756048196e+03
9.927005272664231050e-01,9.887791853925472256e+18,5.956397770801620339e+01,1.015238277049789133e+02,-1.074088026516522271e+20,-1.756316468087436533e+03,-1.848005852169167838e+03,6.466168791090168844e-01,1.274362161621917622e+00,1.235810644639291134e+00,6.945234475944765850e+19,4.539423513322089093e+03,5.311942926201160844e+03
9.939444459557315037e-01,9.793163566488047616e+18,5.801683312385690527e+01,1.000567374473943687e+02,-9.556849247861995930e+19,-1.655551115890461915e+03,-1.571948245159368525e+03,8.547315597180332736e-01,1.277861071954899508e+00,1.238532111044057693e+00,8.168540663615196365e+19,4.457847010458720433e+03,5.018450051428460029e+03
9.951883646450397913e-01,9.709404805014446080e+18,5.647374503587142414e+01,9.858964718980990938e+01,-9.900451623374548173e+19,-1.638904993455271779e+03,-1.569144895930192661e+03,1.049735319249281540e+00,1.234621769118982915e+00,1.240672878499265330e+00,1.039285374557514957e+20,4.557710829643083343e+03,5.490317126418945918e+03
9.964322833343481900e-01,9.608032720254382080e+18,5.495220658077468556e+01,9.712255693222535058e+01,-1.131803156983004201e+20,-1.688831595783783996e+03,-1.586494598636586034e+03,1.222151269155208997e+00,1.182961353837283847e+00,1.238094054891083262e+00,1.383234664740650844e+20,4.901625560556041819e+03,6.251624730541754616e+03
9.976762020236564776e-01,9.497387523265093632e+18,5.331010759537366539e+01,9.561771456850858897e+01,-1.584339950912139100e+20,-1.891111978840855954e+03,-1.722253420075300255e+03,1.266582954878029188e+00,1.093881326519460240e+00,1.224641167892429827e+00,2.006697976557608960e+20,5.718079990391177489e+03,7.819798423951675431e+03
9.989201207129648763e-01,9.310710952171769856e+18,5.140329173540043683e+01,9.389052688937817948e+01,-2.081032499133410836e+20,-2.175341808163758742e+03,-2.772136334530523527e+03,1.151781462136450385e+00,9.253217027438220832e-01,9.807411102059235830e-01,2.396894654605351322e+20,5.963074525828809783e+03,9.463067298640646186e+03
